Product Sub-Category,Product Container,Continent,Customer Segment,Product Category,Ship Mode,Order Quantity,Profit,Sales,City,Country / Region,State or Province,Shipping Cost
Paper,Small Box,North America,Corporate,Office Supplies,Express Air,7,83,165,Laguna Hills,United States of America,California,5
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,3,12,105,Danville,United States of America,Illinois,8
Paper,Small Box,South America,Small Business,Office Supplies,Regular Air,12,12,418,Salvador,Brazil,Bahia,8
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,31,-29,213,Delhi,India,National Capital Territory of Delhi,5
Computer Peripherals,Small Box,Asia,Consumer,Technology,Express Air,26,-127,994,Chongqing,China,Chongqing Shi,7
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,8,-29,55,Pacifica,United States of America,California,5
Office Furnishings,Small Box,North America,Home Office,Furniture,Express Air,2,-19,52,Saint Clair Shores,United States of America,Michigan,8
Office Furnishings,Small Box,North America,Home Office,Furniture,Express Air,8,-26,208,Miami,United States of America,Florida,8
Chairs & Chairmats,Medium Box,North America,Small Business,Furniture,Regular Air,23,1845,3001,Annapolis,United States of America,Maryland,13
Chairs & Chairmats,Medium Box,North America,Small Business,Furniture,Regular Air,92,1845,12002,New York City,United States of America,New York,13
Envelopes,Small Box,Europe,Small Business,Office Supplies,Regular Air,82,-67,486,Prague,Czech Republic,Praha,5
Envelopes,Small Box,North America,Small Business,Office Supplies,Regular Air,20,-9,119,Oak Ridge,United States of America,Tennessee,5
Telephones and Communication,Small Box,Asia,Consumer,Technology,Express Air,20,-126,1136,Moscow,Russian Federation,Moskva (city),9
Telephones and Communication,Small Box,North America,Consumer,Technology,Express Air,5,400,284,Tamarac,United States of America,Florida,9
Binders and Binder Accessories,Small Box,Asia,Home Office,Office Supplies,Regular Air,8,-14,25,Tokyo,Japan,Tokyo,5
Computer Peripherals,Small Box,North America,Consumer,Technology,Express Air,7,6,268,Altamonte Springs,United States of America,Florida,7
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,2,-14,6,Castle Rock,United States of America,Colorado,5
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,20,35,51,Garland,United States of America,Texas,1
Labels,Small Box,Asia,Home Office,Office Supplies,Regular Air,78,37,200,Guangzhou,China,Guangdong Sheng,1
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,13,1569,2274,Madison Heights,United States of America,Michigan,20
Binders and Binder Accessories,Small Box,Africa,Consumer,Office Supplies,Regular Air,53,1750,9271,Addis Ababa,Ethiopia,Addis Ababa,20
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,76,9,205,Lahore,Pakistan,Punjab,1
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,19,47,51,Waynesboro,United States of America,Virginia,1
Rubber Bands,Wrap Bag,North America,Home Office,Office Supplies,Express Air,1,3,5,Georgetown,United States of America,Texas,1
Rubber Bands,Wrap Bag,Asia,Home Office,Office Supplies,Express Air,6,3,32,Guangzhou,China,Guangdong Sheng,1
"Scissors, Rulers and Trimmers",Small Pack,Asia,Consumer,Office Supplies,Regular Air,43,-37,687,Istanbul,Turkey,Istanbul,7
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,12,-56,26,Mcminnville,United States of America,Oregon,2
"Scissors, Rulers and Trimmers",Small Pack,North America,Consumer,Office Supplies,Regular Air,11,203,176,Panama City,United States of America,Florida,7
Binders and Binder Accessories,Small Box,Europe,Corporate,Office Supplies,Regular Air,12,-5,25,Edinburgh,United Kingdom,Scotland,1
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,3,3,6,Monroe,United States of America,Louisiana,1
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,2,-40,54,Collinsville,United States of America,Illinois,17
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,8,-40,218,New York City,United States of America,New York,17
Paper,Wrap Bag,South America,Small Business,Office Supplies,Regular Air,51,56,262,Sao Paulo,Brazil,São Paulo,1
Paper,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,13,46,67,Rancho Cucamonga,United States of America,California,1
Telephones and Communication,Small Box,South America,Small Business,Technology,Regular Air,20,-147,1051,Sao Paulo,Brazil,São Paulo,5
Telephones and Communication,Small Box,North America,Small Business,Technology,Regular Air,5,-147,263,Rancho Cucamonga,United States of America,California,5
Bookcases,Jumbo Box,Asia,Home Office,Furniture,Delivery Truck,49,33,3739,Tokyo,Japan,Tokyo,27
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,46,-56,100,Seattle,United States of America,Washington,2
Bookcases,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,12,-101,916,Douglasville,United States of America,Georgia,27
Binders and Binder Accessories,Small Box,Asia,Home Office,Office Supplies,Express Air,45,-126,292,Guangzhou,China,Guangdong Sheng,8
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Express Air,11,1,71,Casselberry,United States of America,Florida,8
Chairs & Chairmats,Jumbo Drum,North America,Corporate,Furniture,Delivery Truck,9,-158,1011,West Lafayette,United States of America,Indiana,30
Chairs & Chairmats,Jumbo Drum,Asia,Corporate,Furniture,Delivery Truck,35,-158,3933,Istanbul,Turkey,Istanbul,30
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,16,-6,147,West Lafayette,United States of America,Indiana,6
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,62,-6,570,Istanbul,Turkey,Istanbul,6
Telephones and Communication,Wrap Bag,North America,Corporate,Technology,Regular Air,22,-107,1524,Emporia,United States of America,Kansas,1
Telephones and Communication,Wrap Bag,Asia,Corporate,Technology,Regular Air,88,-107,6095,Kolkata,India,West Bengal,1
Chairs & Chairmats,Jumbo Drum,North America,Corporate,Furniture,Delivery Truck,4,-77,151,Keene,United States of America,New Hampshire,19
Telephones and Communication,Small Box,North America,Consumer,Technology,Regular Air,11,719,1043,Odessa,United States of America,Texas,9
Chairs & Chairmats,Jumbo Drum,Africa,Corporate,Furniture,Delivery Truck,16,-77,603,Cairo,Egypt,Al Qahirah,19
Office Machines,Jumbo Drum,North America,Home Office,Technology,Delivery Truck,2,-2816,2736,Rockford,United States of America,Illinois,15
Office Machines,Jumbo Drum,Asia,Home Office,Technology,Delivery Truck,8,-2816,10944,Nagoya,Japan,Aichi,15
Tables,Jumbo Drum,Europe,Small Business,Furniture,Delivery Truck,41,28,5134,Dublin,Ireland,Dublin,60
Tables,Jumbo Drum,North America,Small Business,Furniture,Delivery Truck,10,28,1252,Stockton,United States of America,California,60
Envelopes,Small Box,North America,Consumer,Office Supplies,Regular Air,9,-16,84,Norwich,United States of America,Connecticut,6
Envelopes,Small Box,South America,Consumer,Office Supplies,Regular Air,35,-16,329,Sao Paulo,Brazil,São Paulo,6
Paper,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,11,45,80,Aberdeen,United States of America,South Dakota,2
Paper,Wrap Bag,South America,Corporate,Office Supplies,Regular Air,45,45,326,Porto Alegre,Brazil,Rio Grande do Sul,2
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,18,18,83,Eden,United States of America,North Carolina,6
Telephones and Communication,Small Box,Asia,Consumer,Technology,Regular Air,43,842,4075,Moscow,Russian Federation,Moskva (city),9
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,72,-114,331,Los Angeles,United States of America,California,6
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,18,-193,40,Central Islip,United States of America,New York,6
Binders and Binder Accessories,Small Box,South America,Small Business,Office Supplies,Regular Air,70,-193,154,Medellin,Colombia,Antioquia,6
Office Furnishings,Small Pack,Europe,Consumer,Furniture,Regular Air,55,74,750,Paris,France,Île-de-France,5
Office Furnishings,Small Pack,North America,Consumer,Furniture,Regular Air,14,74,191,Roswell,United States of America,New Mexico,5
Tables,Jumbo Box,North America,Corporate,Furniture,Regular Air,18,-19,32,Austin,United States of America,Texas,1
Office Furnishings,Small Pack,North America,Corporate,Furniture,Regular Air,12,70,224,Austin,United States of America,Texas,9
Tables,Jumbo Box,Asia,Corporate,Furniture,Regular Air,70,-19,125,Seoul,Republic of Korea,Soul,1
Office Furnishings,Small Pack,Asia,Corporate,Furniture,Regular Air,49,70,915,Seoul,Republic of Korea,Soul,9
Telephones and Communication,Small Box,Europe,Consumer,Technology,Regular Air,20,-491,3059,Paris,France,Île-de-France,9
Office Furnishings,Small Box,North America,Corporate,Furniture,Express Air,28,-84,66,Mexico City,Mexico,Distrito Federal,5
Telephones and Communication,Small Box,North America,Consumer,Technology,Regular Air,5,-491,765,Roswell,United States of America,New Mexico,9
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,19,-1465,615,Eden,United States of America,North Carolina,7
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,74,76,2397,Los Angeles,United States of America,California,7
Paper,Small Box,North America,Consumer,Office Supplies,Regular Air,4,-18,171,Brookline,United States of America,Massachusetts,20
"Scissors, Rulers and Trimmers",Small Pack,North America,Consumer,Office Supplies,Regular Air,19,-86,282,South Portland,United States of America,Maine,7
Paper,Small Box,South America,Consumer,Office Supplies,Regular Air,16,-18,685,Sao Paulo,Brazil,São Paulo,20
"Scissors, Rulers and Trimmers",Small Pack,South America,Consumer,Office Supplies,Regular Air,76,-86,1126,Sao Paulo,Brazil,São Paulo,7
Binders and Binder Accessories,Small Box,Asia,Consumer,Office Supplies,Regular Air,66,-128,506,Osaka,Japan,Ōsaka,8
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,17,-128,130,Midvale,United States of America,Utah,8
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,19,-172,131,Aberdeen,United States of America,South Dakota,9
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,9,-52,46,Atlanta,United States of America,Georgia,7
Office Furnishings,Wrap Bag,North America,Corporate,Furniture,Regular Air,38,-682,1685,Mexico City,Mexico,Distrito Federal,34
Paper,Small Box,South America,Corporate,Office Supplies,Regular Air,74,-172,509,Porto Alegre,Brazil,Rio Grande do Sul,9
Envelopes,Small Box,North America,Small Business,Office Supplies,Regular Air,23,-11,89,Muskegon,United States of America,Michigan,3
Envelopes,Small Box,Asia,Small Business,Office Supplies,Regular Air,92,-11,355,Lahore,Pakistan,Punjab,3
Computer Peripherals,Small Pack,North America,Corporate,Technology,Express Air,10,222,423,Austin,United States of America,Texas,2
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Express Air,39,222,1649,Seoul,Republic of Korea,Soul,2
Computer Peripherals,Small Pack,Asia,Consumer,Technology,Regular Air,29,93,901,Osaka,Japan,Ōsaka,2
Computer Peripherals,Small Pack,North America,Consumer,Technology,Regular Air,7,93,218,Midvale,United States of America,Utah,2
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,11,-122,563,Eden,United States of America,North Carolina,5
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,45,54,2303,Los Angeles,United States of America,California,5
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,9,-4,463,New Albany,United States of America,Indiana,20
Appliances,Jumbo Drum,North America,Home Office,Office Supplies,Delivery Truck,7,772,2291,Omaha,United States of America,Nebraska,91
Computer Peripherals,Small Box,South America,Corporate,Technology,Regular Air,35,-4,1799,Sao Paulo,Brazil,São Paulo,20
Copiers and Fax,Large Box,Europe,Small Business,Technology,Regular Air,6,-2397,4074,Dublin,Ireland,Dublin,24
Copiers and Fax,Large Box,North America,Small Business,Technology,Regular Air,1,-2397,679,Menlo Park,United States of America,California,24
Office Machines,Medium Box,North America,Corporate,Technology,Regular Air,20,42,306,Independence,United States of America,Missouri,8
Office Machines,Medium Box,North America,Corporate,Technology,Regular Air,82,42,1254,Guadalajara,Mexico,Jalisco,8
Chairs & Chairmats,Jumbo Drum,North America,Home Office,Furniture,Delivery Truck,15,-190,382,Oswego,United States of America,Illinois,14
Chairs & Chairmats,Jumbo Drum,Asia,Home Office,Furniture,Delivery Truck,60,-190,1529,Beijing,China,Beijing,14
Office Furnishings,Medium Box,North America,Consumer,Furniture,Regular Air,23,1215,2559,Grove City,United States of America,Ohio,14
Office Furnishings,Medium Box,South America,Consumer,Furniture,Regular Air,94,1215,10458,Buenos Aires,Argentina,Province de Buenos Aires,14
Storage & Organization,Small Box,North America,Consumer,Office Supplies,Express Air,20,1663,3348,Willingboro,United States of America,New Jersey,20
Appliances,Jumbo Drum,North America,Home Office,Office Supplies,Delivery Truck,29,772,9493,New York City,United States of America,New York,91
Storage & Organization,Small Box,Asia,Consumer,Office Supplies,Express Air,80,1663,13393,Jakarta,Indonesia,Jakarta,20
Paper,Small Box,North America,Small Business,Office Supplies,Express Air,8,81,165,Port Chester,United States of America,New York,6
Paper,Small Box,Asia,Small Business,Office Supplies,Express Air,49,435,2195,Moscow,Russian Federation,Moskva (city),6
Paper,Small Box,Europe,Small Business,Office Supplies,Express Air,33,81,682,Liverpool,United Kingdom,England,6
Paper,Small Box,North America,Small Business,Office Supplies,Express Air,12,569,538,Deerfield Beach,United States of America,Florida,6
Binders and Binder Accessories,Small Box,Europe,Consumer,Office Supplies,Regular Air,23,-36,181,Paris,France,Île-de-France,6
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,6,-36,47,Modesto,United States of America,California,6
Paper,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,72,386,2011,Tokyo,Japan,Tokyo,5
Paper,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,18,-59,503,Herndon,United States of America,Virginia,5
Telephones and Communication,Small Box,North America,Corporate,Technology,Express Air,5,-126,562,Schenectady,United States of America,New York,8
"Scissors, Rulers and Trimmers",Small Pack,North America,Consumer,Office Supplies,Regular Air,5,12,56,Oak Park,United States of America,Michigan,3
Telephones and Communication,Small Box,Asia,Corporate,Technology,Express Air,20,-126,2248,Shanghai,China,Shanghai Shi,8
Telephones and Communication,Small Box,Asia,Corporate,Technology,Regular Air,49,384,5124,Zibo,China,Shandong Sheng,8
Office Machines,Medium Box,Asia,Corporate,Technology,Regular Air,90,-72,1245,Zibo,China,Shandong Sheng,9
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,12,2,1255,La Grange,United States of America,Georgia,8
Office Machines,Medium Box,North America,Corporate,Technology,Regular Air,22,418,304,La Grange,United States of America,Georgia,9
Storage & Organization,Large Box,North America,Home Office,Office Supplies,Regular Air,1,-156,103,Wyoming,United States of America,Michigan,35
Storage & Organization,Large Box,Asia,Home Office,Office Supplies,Regular Air,4,-156,413,Guangzhou,China,Guangdong Sheng,35
Copiers and Fax,Large Box,North America,Small Business,Technology,Regular Air,57,5217,41368,Guadalajara,Mexico,Jalisco,24
Copiers and Fax,Large Box,North America,Small Business,Technology,Regular Air,14,5217,10161,Farmington,United States of America,New Mexico,24
Storage & Organization,Small Box,Asia,Small Business,Office Supplies,Express Air,62,-186,916,Ahmedabad,India,Gujarat,11
"Scissors, Rulers and Trimmers",Small Pack,Asia,Consumer,Office Supplies,Regular Air,21,12,236,Beijing,China,Beijing,3
Storage & Organization,Small Box,North America,Small Business,Office Supplies,Express Air,16,-186,237,Lodi,United States of America,California,11
Storage & Organization,Small Box,North America,Home Office,Office Supplies,Regular Air,10,2137,3898,Weslaco,United States of America,Texas,11
Storage & Organization,Small Box,Asia,Home Office,Office Supplies,Regular Air,41,2137,15982,Kunming,China,Yunnan Sheng,11
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,12,-8,68,Highland,United States of America,Indiana,2
Pens & Art Supplies,Wrap Bag,Australasia,Corporate,Office Supplies,Regular Air,47,-8,267,Wellington,New Zealand,Wellington,2
Paper,Small Box,Asia,Small Business,Office Supplies,Regular Air,66,-189,446,Ahmedabad,India,Gujarat,10
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,17,-189,115,Lodi,United States of America,California,10
Computer Peripherals,Small Box,South America,Corporate,Technology,Regular Air,45,1579,12858,Rio de Janeiro,Brazil,Rio de Janeiro,7
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,11,1579,3143,Post Falls,United States of America,Idaho,7
Tables,Jumbo Box,South America,Corporate,Furniture,Delivery Truck,37,-1281,2049,Rio de Janeiro,Brazil,Rio de Janeiro,89
Pens & Art Supplies,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,5,-15,20,Beijing,China,Beijing,4
Tables,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,9,-1281,498,Post Falls,United States of America,Idaho,89
Office Furnishings,Small Pack,North America,Corporate,Furniture,Regular Air,19,-124,163,Highland,United States of America,Indiana,9
Office Furnishings,Small Pack,Australasia,Corporate,Furniture,Regular Air,74,-124,634,Wellington,New Zealand,Wellington,9
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,23,58,831,East Orange,United States of America,New Jersey,20
Paper,Small Box,South America,Corporate,Office Supplies,Regular Air,94,58,3397,Curitiba,Brazil,Parana,20
Storage & Organization,Small Box,North America,Home Office,Office Supplies,Regular Air,3,-56,51,Buffalo Grove,United States of America,Illinois,11
Storage & Organization,Small Box,South America,Home Office,Office Supplies,Regular Air,14,-56,240,Buenos Aires,Argentina,Province de Buenos Aires,11
Labels,Small Box,North America,Small Business,Office Supplies,Regular Air,10,27,38,Port Chester,United States of America,New York,1
Labels,Small Box,Europe,Small Business,Office Supplies,Regular Air,39,32,150,Liverpool,United Kingdom,England,1
Rubber Bands,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,18,-51,98,Coppell,United States of America,Texas,3
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,7,25,49,Killeen,United States of America,Texas,2
Appliances,Small Box,Asia,Home Office,Office Supplies,Regular Air,16,212,2118,Wuhan,China,Hubei Sheng,1
Rubber Bands,Wrap Bag,Asia,Home Office,Office Supplies,Regular Air,72,-51,391,Chongqing,China,Chongqing Shi,3
Appliances,Small Box,North America,Home Office,Office Supplies,Regular Air,4,212,529,Westminster,United States of America,Colorado,1
Office Furnishings,Small Pack,Asia,Home Office,Furniture,Regular Air,80,81,1474,Chongqing,China,Chongqing Shi,9
Office Furnishings,Small Pack,North America,Home Office,Furniture,Regular Air,20,-78,368,Colonial Heights,United States of America,Virginia,9
Paper,Small Box,Asia,Home Office,Office Supplies,Regular Air,27,-65,178,Wuhan,China,Hubei Sheng,8
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,7,-65,46,Westminster,United States of America,Colorado,8
Pens & Art Supplies,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,23,38,94,Bristol,United States of America,Connecticut,1
Pens & Art Supplies,Wrap Bag,Asia,Small Business,Office Supplies,Regular Air,92,38,374,Kolkata,India,West Bengal,1
Computer Peripherals,Small Box,Asia,Home Office,Technology,Regular Air,14,-92,442,Chongqing,China,Chongqing Shi,4
Pens & Art Supplies,Wrap Bag,Asia,Home Office,Office Supplies,Regular Air,29,25,203,Manila,Philippines,Région Capitale Nationale,2
Computer Peripherals,Small Box,North America,Home Office,Technology,Regular Air,3,22,95,Colonial Heights,United States of America,Virginia,4
Pens & Art Supplies,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,8,-2,23,Portland,United States of America,Maine,1
Pens & Art Supplies,Wrap Bag,Asia,Small Business,Office Supplies,Regular Air,33,-2,94,Kolkata,India,West Bengal,1
Storage & Organization,Medium Box,North America,Consumer,Office Supplies,Regular Air,19,-136,539,Muscatine,United States of America,Iowa,14
Storage & Organization,Medium Box,Asia,Consumer,Office Supplies,Regular Air,76,-136,2155,Moscow,Russian Federation,Moskva (city),14
Pens & Art Supplies,Wrap Bag,North America,Consumer,Office Supplies,Express Air,9,-14,18,Muscatine,United States of America,Iowa,2
Pens & Art Supplies,Wrap Bag,Asia,Consumer,Office Supplies,Express Air,35,-14,69,Moscow,Russian Federation,Moskva (city),2
Appliances,Large Box,North America,Consumer,Office Supplies,Regular Air,3,-220,213,Clinton,United States of America,Michigan,49
Appliances,Large Box,North America,Consumer,Office Supplies,Regular Air,14,-220,994,New York City,United States of America,New York,49
Paper,Small Box,Asia,Home Office,Office Supplies,Regular Air,6,-11,39,Beijing,China,Beijing,5
Office Machines,Medium Box,Asia,Home Office,Technology,Regular Air,7,-53,124,Beijing,China,Beijing,11
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,1,-11,6,Los Gatos,United States of America,California,5
Computer Peripherals,Small Box,North America,Consumer,Technology,Regular Air,55,146,2374,Detroit,United States of America,Michigan,10
Computer Peripherals,Small Box,North America,Consumer,Technology,Regular Air,14,123,604,Plantation,United States of America,Florida,10
Pens & Art Supplies,Small Pack,Asia,Home Office,Office Supplies,Regular Air,68,-91,1147,Beijing,China,Beijing,9
Pens & Art Supplies,Small Pack,North America,Home Office,Office Supplies,Regular Air,17,-91,287,Los Gatos,United States of America,California,9
Computer Peripherals,Small Pack,Asia,Home Office,Technology,Regular Air,80,542,2533,Beijing,China,Beijing,2
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,20,437,633,Los Gatos,United States of America,California,2
Tables,Large Box,Asia,Home Office,Furniture,Regular Air,37,-626,8268,Beijing,China,Beijing,69
Tables,Large Box,North America,Home Office,Furniture,Regular Air,9,-626,2011,Los Gatos,United States of America,California,69
Appliances,Medium Box,Asia,Consumer,Office Supplies,Regular Air,70,739,3487,Shenyang,China,Liaoning Sheng,5
Office Machines,Medium Box,North America,Home Office,Technology,Regular Air,2,-53,35,Los Altos,United States of America,California,11
Appliances,Medium Box,North America,Consumer,Office Supplies,Regular Air,18,619,897,Burien,United States of America,Washington,5
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,16,1343,2595,Brookings,United States of America,South Dakota,4
Telephones and Communication,Small Box,Europe,Corporate,Technology,Regular Air,64,1343,10381,Geneva,Switzerland,Genève,4
Tables,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,11,1541,3887,Brookings,United States of America,South Dakota,40
Tables,Jumbo Box,Europe,Corporate,Furniture,Delivery Truck,45,1541,15902,Geneva,Switzerland,Genève,40
Telephones and Communication,Small Pack,Asia,Consumer,Technology,Regular Air,4,-364,287,Shenyang,China,Liaoning Sheng,1
Telephones and Communication,Small Pack,North America,Consumer,Technology,Regular Air,1,-364,72,Burien,United States of America,Washington,1
Paper,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,23,103,197,Michigan City,United States of America,Indiana,3
Paper,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,94,103,803,New York City,United States of America,New York,3
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,14,-68,68,Michigan City,United States of America,Indiana,5
Binders and Binder Accessories,Small Box,Asia,Small Business,Office Supplies,Regular Air,11,-86,69,Guiyang,China,Guizhou Sheng,8
Tables,Jumbo Box,Africa,Home Office,Furniture,Delivery Truck,20,1116,6449,Cairo,Egypt,Al Qahirah,43
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,55,-68,267,New York City,United States of America,New York,5
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,23,268,462,Elkhart,United States of America,Indiana,6
Paper,Small Box,Europe,Corporate,Office Supplies,Regular Air,92,268,1850,Paris,France,Île-de-France,6
Computer Peripherals,Small Pack,Asia,Home Office,Technology,Regular Air,43,21,402,Changchun,China,Jilin Sheng,2
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,11,21,103,Tualatin,United States of America,Oregon,2
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,21,1836,3163,Grand Forks,United States of America,North Dakota,9
Telephones and Communication,Small Box,Asia,Home Office,Technology,Regular Air,84,1836,12654,Jakarta,Indonesia,Jakarta,9
